Priority,Source,Business Name,City,State,Lead Quality,Value Indicator,Days Since Trigger,Contact Approach,Franchise Info,Next Action
42,NEW_BUSINESS,Retail Store of Madison 32,Madison,WI,MEDIUM,None% confidence,17,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
43,NEW_BUSINESS,Fitness Center of Appleton 6,Appleton,WI,MEDIUM,None% confidence,16,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
44,NEW_BUSINESS,Fitness Center of Milwaukee 16,Milwaukee,WI,MEDIUM,None% confidence,16,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
45,NEW_BUSINESS,Restaurant of Appleton 21,Appleton,WI,MEDIUM,None% confidence,16,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
46,NEW_BUSINESS,Retail Clothing of Oshkosh 69,Oshkosh,WI,MEDIUM,None% confidence,16,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
47,NEW_BUSINESS,Restaurant of West Allis 11,West Allis,WI,MEDIUM,None% confidence,15,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
48,NEW_BUSINESS,Coffee Shop of Sheboygan 58,Sheboygan,WI,MEDIUM,None% confidence,15,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
49,NEW_BUSINESS,Fitness Center of Milwaukee 46,Milwaukee,WI,MEDIUM,None% confidence,14,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
50,NEW_BUSINESS,Restaurant of West Allis 71,West Allis,WI,MEDIUM,None% confidence,14,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
51,NEW_BUSINESS,Coffee Shop of Eau Claire 8,Eau Claire,WI,MEDIUM,None% confidence,12,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
52,NEW_BUSINESS,Fitness Center of West Allis 56,West Allis,WI,MEDIUM,None% confidence,12,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
53,NEW_BUSINESS,Coffee Shop of Eau Claire 38,Eau Claire,WI,MEDIUM,None% confidence,11,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
54,NEW_BUSINESS,Fitness Center of Appleton 66,Appleton,WI,MEDIUM,None% confidence,10,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
55,NEW_BUSINESS,Retail Clothing of Kenosha 49,Kenosha,WI,MEDIUM,None% confidence,8,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
56,NEW_BUSINESS,Retail Store of Waukesha 52,Waukesha,WI,MEDIUM,None% confidence,8,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
57,NEW_BUSINESS,Coffee Shop of Sheboygan 28,Sheboygan,WI,MEDIUM,None% confidence,7,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
58,NEW_BUSINESS,Restaurant of West Allis 41,West Allis,WI,MEDIUM,None% confidence,6,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
59,NEW_BUSINESS,Fitness Center of West Allis 26,West Allis,WI,MEDIUM,None% confidence,3,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
60,NEW_BUSINESS,Retail Store of Madison 2,Madison,WI,MEDIUM,None% confidence,2,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
61,NEW_BUSINESS,Retail Store of La Crosse 72,La Crosse,WI,MEDIUM,None% confidence,2,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
62,NEW_BUSINESS,Retail Store of La Crosse 42,La Crosse,WI,MEDIUM,None% confidence,1,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
63,BUSINESS_LICENSE,Milwaukee Business 19,Milwaukee,WI,QUALIFIED,Active,30,Email: Local Restaurant License expansion opportunities available.,Restaurant License,Send expansion opportunity case studies
64,BUSINESS_LICENSE,Milwaukee Business 14,Milwaukee,WI,QUALIFIED,Active,28,Email: Local Retail Food Establishment expansion opportunities available.,Retail Food Establishment,Send expansion opportunity case studies
65,BUSINESS_LICENSE,Milwaukee Business 20,Milwaukee,WI,QUALIFIED,Active,23,Email: Local Retail Food Establishment expansion opportunities available.,Retail Food Establishment,Send expansion opportunity case studies
66,BUSINESS_LICENSE,Milwaukee Business 7,Milwaukee,WI,QUALIFIED,Active,22,Email: Local Restaurant License expansion opportunities available.,Restaurant License,Send expansion opportunity case studies
67,BUSINESS_LICENSE,Milwaukee Business 8,Milwaukee,WI,QUALIFIED,Active,19,Email: Local Retail Food Establishment expansion opportunities available.,Retail Food Establishment,Send expansion opportunity case studies
68,BUSINESS_LICENSE,Milwaukee Business 2,Milwaukee,WI,QUALIFIED,Active,15,Email: Local Retail Food Establishment expansion opportunities available.,Retail Food Establishment,Send expansion opportunity case studies
69,BUSINESS_LICENSE,Milwaukee Business 1,Milwaukee,WI,QUALIFIED,Active,13,Email: Local Restaurant License expansion opportunities available.,Restaurant License,Send expansion opportunity case studies
70,BUSINESS_LICENSE,Milwaukee Business 13,Milwaukee,WI,QUALIFIED,Active,5,Email: Local Restaurant License expansion opportunities available.,Restaurant License,Send expansion opportunity case studies
